data,hora,cidade,Temperatura (°C),Umidade (%),Precipitação (mm),Vento (km/h)
05/10/2024,21:00,Rio de Janeiro,21.5,88.0,0.2,2.5
03/10/2024,19:00,Criciuma,15.9,98.0,0.0,3.6
03/10/2024,21:30,Rio de Janeiro,21.5,88.0,0.2,2.5
04/10/2024,21:30,Porto Alegre,19.4,79.0,0.0,17.6
05/10/2024,16:30,Curitiba,13.6,97.0,0.0,8.1
05/10/2024,16:30,Belo Horizonte,19.1,80.0,0.0,3.8
05/10/2024,16:30,Braganca Paulista,16.0,88.0,0.0,10.9
05/10/2024,19:00,Salvador,26.1,79.0,0.0,8.2
05/10/2024,19:00,Sao Paulo,16.6,90.0,0.0,7.3
05/10/2024,19:00,Cuiaba,23.3,92.0,0.0,1.8
20/10/2024,20:00,Caxias do Sul,13.8,90.0,0.0,10.2
16/10/2024,21:45,Fortaleza,26.5,87.0,2.4,11.9
16/10/2024,21:45,Campinas,17.1,81.0,0.0,21.3
17/10/2024,20:00,Sao Paulo,16.6,90.0,0.0,7.3
17/10/2024,20:00,Rio de Janeiro,21.5,88.0,0.2,2.5
18/10/2024,19:00,Goiania,22.2,81.0,0.0,5.1
18/10/2024,20:00,Rio de Janeiro,21.5,88.0,0.2,2.5
18/10/2024,21:30,Belo Horizonte,19.1,80.0,0.0,3.8
19/10/2024,16:00,Porto Alegre,19.4,79.0,0.0,17.6
19/10/2024,16:00,Salvador,26.1,79.0,0.0,8.2
28/10/2024,21:00,Rio de Janeiro,21.5,88.0,0.2,2.5
26/10/2024,16:30,Rio de Janeiro,21.5,88.0,0.2,2.5
26/10/2024,16:30,Porto Alegre,19.4,79.0,0.0,17.6
26/10/2024,16:30,Sao Paulo,16.6,90.0,0.0,7.3
26/10/2024,16:30,Salvador,26.1,79.0,0.0,8.2
26/10/2024,18:30,Curitiba,13.6,97.0,0.0,8.1
26/10/2024,19:00,Belo Horizonte,19.1,80.0,0.0,3.8
26/10/2024,19:00,Braganca Paulista,16.0,88.0,0.0,10.9
26/10/2024,21:00,Criciuma,15.9,98.0,0.0,3.6
28/10/2024,19:00,Cuiaba,23.3,92.0,0.0,1.8
06/11/2024,21:00,Belo Horizonte,19.1,80.0,0.0,3.8
01/11/2024,21:00,Rio de Janeiro,21.5,88.0,0.2,2.5
02/11/2024,16:00,Braganca Paulista,16.0,88.0,0.0,10.9
02/11/2024,18:30,Curitiba,13.6,97.0,0.0,8.1
02/11/2024,18:30,Caxias do Sul,13.8,90.0,0.0,10.2
04/11/2024,20:00,Sao Paulo,16.6,90.0,0.0,7.3
05/11/2024,21:30,Salvador,26.1,79.0,0.0,8.2
05/11/2024,21:30,Rio de Janeiro,21.5,88.0,0.2,2.5
05/11/2024,21:30,Porto Alegre,19.4,79.0,0.0,17.6
06/11/2024,21:00,Goiania,22.2,81.0,0.0,5.1
13/11/2024,20:00,Rio de Janeiro,21.5,88.0,0.2,2.5
08/11/2024,19:00,Porto Alegre,19.4,79.0,0.0,17.6
08/11/2024,21:30,Sao Paulo,16.6,90.0,0.0,7.3
09/11/2024,16:30,Rio de Janeiro,21.5,88.0,0.2,2.5
09/11/2024,16:30,Salvador,26.1,79.0,0.0,8.2
09/11/2024,19:00,Goiania,22.2,81.0,0.0,5.1
09/11/2024,19:00,Belo Horizonte,19.1,80.0,0.0,3.8
09/11/2024,19:00,Fortaleza,26.5,87.0,2.4,11.9
09/11/2024,19:00,Caxias do Sul,13.8,90.0,0.0,10.2
09/11/2024,21:00,Sao Paulo,16.6,90.0,0.0,7.3
22/11/2024,21:30,Rio de Janeiro,21.5,88.0,0.2,2.5
20/11/2024,11:00,Sao Paulo,16.6,90.0,0.0,7.3
20/11/2024,16:30,Curitiba,13.6,97.0,0.0,8.1
20/11/2024,16:30,Criciuma,15.9,98.0,0.0,3.6
20/11/2024,16:30,Braganca Paulista,16.0,88.0,0.0,10.9
20/11/2024,18:00,Salvador,26.1,79.0,0.0,8.2
20/11/2024,19:00,Cuiaba,23.3,92.0,0.0,1.8
20/11/2024,19:00,Porto Alegre,19.4,79.0,0.0,17.6
20/11/2024,21:30,Belo Horizonte,19.1,80.0,0.0,3.8
21/11/2024,20:00,Rio de Janeiro,21.5,88.0,0.2,2.5
27/11/2024,21:00,Belo Horizonte,19.1,80.0,0.0,3.8
23/11/2024,19:30,Goiania,22.2,81.0,0.0,5.1
23/11/2024,19:30,Rio de Janeiro,21.5,88.0,0.2,2.5
23/11/2024,19:30,Caxias do Sul,13.8,90.0,0.0,10.2
23/11/2024,21:30,Sao Paulo,16.6,90.0,0.0,7.3
24/11/2024,16:00,Salvador,26.1,79.0,0.0,8.2
24/11/2024,16:00,Sao Paulo,16.6,90.0,0.0,7.3
24/11/2024,16:00,Porto Alegre,19.4,79.0,0.0,17.6
26/11/2024,19:00,Rio de Janeiro,21.5,88.0,0.2,2.5
26/11/2024,20:00,Fortaleza,26.5,87.0,2.4,11.9
01/12/2024,18:30,Salvador,26.1,79.0,0.0,8.2
26/11/2024,21:30,Belo Horizonte,19.1,80.0,0.0,3.8
26/11/2024,21:30,Sao Paulo,16.6,90.0,0.0,7.3
30/11/2024,19:30,Criciuma,15.9,98.0,0.0,3.6
30/11/2024,19:30,Cuiaba,23.3,92.0,0.0,1.8
30/11/2024,21:30,Rio de Janeiro,21.5,88.0,0.2,2.5
01/12/2024,16:00,Rio de Janeiro,21.5,88.0,0.2,2.5
01/12/2024,16:00,Porto Alegre,19.4,79.0,0.0,17.6
01/12/2024,18:30,Curitiba,13.6,97.0,0.0,8.1
01/12/2024,18:30,Braganca Paulista,16.0,88.0,0.0,10.9
05/12/2024,20:00,Rio de Janeiro,21.5,88.0,0.2,2.5
03/12/2024,20:00,Sao Paulo,16.6,90.0,0.0,7.3
04/12/2024,19:00,Rio de Janeiro,21.5,88.0,0.2,2.5
04/12/2024,20:00,Criciuma,15.9,98.0,0.0,3.6
04/12/2024,20:00,Sao Paulo,16.6,90.0,0.0,7.3
04/12/2024,20:00,Salvador,26.1,79.0,0.0,8.2
04/12/2024,21:30,Goiania,22.2,81.0,0.0,5.1
04/12/2024,21:30,Belo Horizonte,19.1,80.0,0.0,3.8
04/12/2024,21:30,Porto Alegre,19.4,79.0,0.0,17.6
05/12/2024,20:00,Curitiba,13.6,97.0,0.0,8.1
08/12/2024,16:00,Braganca Paulista,16.0,88.0,0.0,10.9
08/12/2024,16:00,Belo Horizonte,19.1,80.0,0.0,3.8
08/12/2024,16:00,Salvador,26.1,79.0,0.0,8.2
08/12/2024,16:00,Rio de Janeiro,21.5,88.0,0.2,2.5
08/12/2024,16:00,Cuiaba,23.3,92.0,0.0,1.8
08/12/2024,16:00,Rio de Janeiro,21.5,88.0,0.2,2.5
08/12/2024,16:00,Fortaleza,26.5,87.0,2.4,11.9
08/12/2024,16:00,Porto Alegre,19.4,79.0,0.0,17.6
08/12/2024,16:00,Caxias do Sul,13.8,90.0,0.0,10.2
08/12/2024,16:00,Sao Paulo,16.6,90.0,0.0,7.3
