rodada,jogo,mandante,visitante,placar,gols
1,9,Flamengo,Coritiba,3 x 0,Pedro 90'+5; Barbosa 56' (Pen)
20,1,Fohieln,Internacional,0 x 1,T Galhardo 13' (Pen)
20,10,(Ae,Finished,1 x 1,Alesson 81'; V.Roque 39'
20,2,Erro,Erro,Erro,
20,3,Euon,Cuiabá,0 x 2,RRios 66'; Veiga 31'
20,4,Fluminense,América-MG,3 x 1,Felipe Azevedo 52'
20,5,Cruzeiro,Finished,1 x 1,Rafael Elias 45'; Gustavo Silva 90'+8
20,6,Vasco,Atlético-MG,1 x 0,
20,7,RccBul,Bahia,4 x 0,Cauly 84'
20,8,Coritiba,Flamengo,2 x 3,Edu 46'; Gerson 90'+4; Robson 15' (Pen); Arrascaeta 31'; G. Barbosa 19' (Pen )
20,9,Santos,(GrEMIo,2 x 1,FCristaloo 46'
21,1,Erro,Erro,Erro,
21,10,GREMIO,Grêmio,3 x 0,FCarballo 54'
21,2,Corinthians,Finished,1 x 1,Maycon 82'
21,3,Eulon,Bragantino,2 x 0,T Borbas 55'
21,4,Erro,Erro,Erro,Rodrigo Varanda 90'; 4. Pato 81'; G.Mastriani 61'
21,5,Atlético-MG,Santos,2 x 0,Paulinho 67' 12'
21,6,Botafogo,Bahia,3 x 0,L Henrique 76'
21,7,Athletico,Fluminense,2 x 2,V.Roque 90'+3; João Neto 87'; Guga 76'
21,8,Forall,Fortaleza,3 x 1,"Marinho 60'; J.M.Lucero 45'+4,42"""
21,9,Palmeiras,Vasco,1 x 0,R.Veiga 65'
22,1,Athletico,Finished,1 x 1,V.Roque 78'
22,10,Erro,Erro,Erro,Luciano 45'+13 (Pen); 1 slimani 45'+6
22,2,Erro,Erro,Erro,
22,3,Botafogo,Finished,1 x 2,Victor Sá 19'; B. Henrique 73'
22,4,GREMIO,Eulon,2 x 0,Rikelme 63' (oG); L Suárez 30'
22,5,Erro,Erro,Erro,
22,6,Fohieln,Fluminense,1 x 0,Barbosa 90'+2
22,7,América-MG,Santos,2 x 0,Juninho 55'
22,8,Bahia,Finished,1 x 1,Ademir 45'; P Vegetti 63' (Pen )
22,9,Erro,Erro,Erro,
